,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
102,Total Body Yoga Power Flow | 20 Minute Feel Good Yoga Class,S2kC2H7cUPw,2020-06-21T19:03:19Z,264457.0,7738.0,82.0,273.0,S2kC2H7cUPw,0 days 00:20:49,1249.0
103,Yoga Class For Total Body Recharge | Your Feel Good Yoga Flow,FpgscxwZ_-s,2020-05-11T21:13:24Z,460475.0,11904.0,115.0,323.0,FpgscxwZ_-s,0 days 00:18:43,1123.0
104,20 Minute Yoga Flow | Yoga To Restart Yourself & Your Day Perfectly,HQdbYNqsMX4,2020-08-04T13:41:07Z,508187.0,14844.0,98.0,465.0,HQdbYNqsMX4,0 days 00:21:31,1291.0
105,Full Body Yoga Flow | Best Yoga Class To Feel Your Best Immediately,YW2Aa4CJEgY,2020-05-11T21:13:24Z,562359.0,17140.0,114.0,554.0,YW2Aa4CJEgY,0 days 00:28:28,1708.0
106,20 Min Morning Yoga For Full Body | Feel Great Vinyasa Flow,hlaVSLdhEvA,2021-02-01T15:16:17Z,412076.0,13554.0,149.0,455.0,hlaVSLdhEvA,0 days 00:25:44,1544.0
107,Full Body Yoga | Best 20 Minute Yoga Flow To Feel Amazing & Reconnect,6ughUyUmKEo,2020-07-12T15:57:03Z,394817.0,11413.0,123.0,403.0,6ughUyUmKEo,0 days 00:21:50,1310.0
108,Yoga For Beginners | Easy 20 Minute Yoga Experience,IV7rEFOkRkU,2020-05-11T21:14:38Z,327751.0,7219.0,120.0,177.0,IV7rEFOkRkU,0 days 00:23:54,1434.0
109,Full Body Yoga Class For Everyone | 30 Min Feel Good Yoga Flow,BeG_UU-Bf5k,2020-05-24T16:05:27Z,710669.0,17552.0,148.0,706.0,BeG_UU-Bf5k,0 days 00:31:12,1872.0
110,15 Min Feel Good Yoga Flow | Reconnect To That Which Serves You Greatest,T9JHOtyBHOA,2020-10-12T17:05:05Z,397972.0,13598.0,56.0,342.0,T9JHOtyBHOA,0 days 00:16:57,1017.0
111,Blissful Yoga Flow  ♥ One Yoga Class To Rule Them All,LM-E6HeuG3I,2020-05-11T21:19:01Z,935443.0,19484.0,217.0,502.0,LM-E6HeuG3I,0 days 00:21:30,1290.0
112,Yoga For All Levels | A Perfectly Blissful Yoga Class - Peru,2DsLs1kW4C4,2020-05-11T21:19:23Z,676375.0,11920.0,105.0,298.0,2DsLs1kW4C4,0 days 00:14:42,882.0
113,"Wake Up Yoga For All | Yoga For Harmony, Strength & Inner Power",6BQH1-tG61A,2020-05-11T21:18:35Z,628499.0,16640.0,121.0,544.0,6BQH1-tG61A,0 days 00:20:26,1226.0
114,15 Min Yoga Flow To Feel Good In Difficult Times | Yoga Movement Therapy,BttMFBHHSR8,2020-11-23T16:16:21Z,423009.0,14458.0,159.0,395.0,BttMFBHHSR8,0 days 00:15:00,900.0
115,"Yoga Flow To Release Everything ♥ Empty Your Mind... Be Water, My Friend.",d7cX_NRCHvY,2020-05-11T21:18:35Z,733701.0,13923.0,155.0,493.0,d7cX_NRCHvY,0 days 00:26:19,1579.0
116,Perfect Morning Yoga  ♥ A Cup Of Coffee For Your Soul | North Caicos,WOQC8ETeTVM,2020-05-11T21:19:01Z,1185128.0,23478.0,269.0,584.0,WOQC8ETeTVM,0 days 00:26:01,1561.0
117,Intermediate Yoga  ♥ Stress Release Flow | Playa Barrigona,29noBUQoZZI,2020-05-11T21:19:49Z,564716.0,10418.0,133.0,349.0,29noBUQoZZI,0 days 00:21:01,1261.0
118,Gentle Yoga Flow ♥ Start Or End Your Day Perfectly | Fort De Soto,AYdQUS7jfPA,2020-05-11T21:19:49Z,1973972.0,25505.0,311.0,505.0,AYdQUS7jfPA,0 days 00:15:59,959.0
119,Morning Yoga Flow ♥ 15 Minute Intermediate Wake Up | Joshua Tree,1Benc0pfoFE,2020-05-11T21:20:16Z,1406188.0,25044.0,337.0,460.0,1Benc0pfoFE,0 days 00:17:03,1023.0
120,Vinyasa Power Flow Class ♥ 20 Minute Yoga | Cambodia Wildlife Sanctuary,Eb5dsG7L7lo,2020-05-11T21:20:16Z,901876.0,16108.0,190.0,682.0,Eb5dsG7L7lo,0 days 00:22:38,1358.0
121,25 Min Morning Full Body Yoga To Wake Up & Feel Great | Boho Beautiful Yoga,aoJJz6vOMvA,2021-02-28T15:35:20Z,416720.0,14198.0,87.0,453.0,aoJJz6vOMvA,0 days 00:27:40,1660.0
122,30 Min Total Body Yoga | Morning Yoga Flow To Start Everyday Perfectly,ka9xQQ9o7H4,2021-05-16T12:48:08Z,221063.0,11654.0,111.0,1498.0,ka9xQQ9o7H4,0 days 00:31:07,1867.0
123,30 Min Full Body Yoga | Let Go Of All That No Longer Serves You,CyJB5II1D94,2021-05-17T14:47:21Z,238044.0,9976.0,74.0,391.0,CyJB5II1D94,0 days 00:31:19,1879.0
